"ItemID","Description","ItemClass","Category","Material","Style","Color","HeightFt","WidthFt","Retail","Cost"
"%4095308020125758=20","","Non-stock item","Other","","","","","","0","0"
"1004R","4x6 Jerith style 100 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"10057R","54X6 Jerith style 100 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","115.28","62.25"
"1005R","5x6 Jerith style 100 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"1006R","6x6 Jerith style 100 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"1014R","4x6 Jerith style 101 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"10157R","54X6 Jerith style 101 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","115.28","62.25"
"1015R","5x6 Jerith style 101 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"1016R","6x6 Jerith style 101 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"104SS","S.S. GRAVITY LATCH nw38210ssb","Non-stock item","Latch","","","","","","32.15","21.22"
"1053","2 x 3-1/2 WEDGE","Non-stock item","Other","","","","","3","3.17","1.33"
"1054","T RAIL WEDGE","Non-stock item","Rail","","","","","","3.17","1.33"
"1096","4 x 4 DECO KNUCKLE","Non-stock item","Other","","","","4","4","5.22","2.61"
"1098","5 x 5 DECO KNUCKLE #1098","Non-stock item","Other","","","","5","5","11.74","5.87"
"10CCA","ACQ POST 4 x 4 x 10'  TREATED","Non-stock item","Other","Wood","","","4","10","38.76","19.38"
"10CCAF","ACQ POST 4 x 4 x 10'  FLAT GOT","Non-stock item","Other","","","","4","10","56","28"
"10CCAG","ACQ POST 4 x 4 x 10'  GOTHIC T","Non-stock item","Other","","","","4","10","56","28"
"10CCAH","ACQ POST 4 x 4 x 10'  HEX TOP","Non-stock item","Other","","","","4","10","56","28"
"10CCAP","ACQ POST 4 x 4 x 10'  POINTED","Non-stock item","Cap","","","","4","10","56","28"
"10COM","10D COMMON NAIL","Non-stock item","Other","","","","","","3.9","1.17"
"10CR","10' CEDAR RAIL","Non-stock item","Rail","Wood","","","","10","50.07","22.53"
"10GAZ","10' GAZEBO KIT","Non-stock item","Other","","","","","10","3127.27","1720"
"10SO","10 in SILVER STRAP ONLY PR.","Non-stock item","Other","","","","","","14.5","5.8"
"1100","DECORATIVE TRANSITION","Non-stock item","Other","","","","","","10.48","5.24"
"1111","8"""" COLUMN ADP for 2 x 3-1/2 R","Non-stock item","Other","","","","","3","5.36","2.25"
"1112","T RAIL ROUND POST CONNECTOR","Non-stock item","Rail","","","","","","5.36","2.25"
"1114R","4x6 Jerith style 101 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"11157R","54X6 Jerith style 111 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","115.28","62.25"
"1115R","5x6 Jerith style 111 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"1116R","6x6 Jerith style 111 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"1117","4 in SEAMLESS DOME CAP","Non-stock item","Cap","","","","","","15.73","2.36"
"1119","5 in SEAMLESS DOME CAP","Non-stock item","Cap","","","","","","22.2","3.33"
"1156","4 in TWO PC. POST SKIRT","Non-stock item","Skirt","","","","","","5.38","2.15"
"1157","5 in TWO PC. POST SKIRT","Non-stock item","Skirt","","","","","","5.25","2.1"
"1181W","Hole Plug strip of 12 pcs for","Non-stock item","Other","","","","","","4.27","0.47"
"1186-36","36 IN FLOWER BOX","Non-stock item","Other","","","","","","191.7","95.85"
"1186-48","48 IN FLOWER BOX","Non-stock item","Other","","","","","","226.2","113.1"
"1186-60","60 IN FLOWER BOX","Non-stock item","Other","","","","","","265.36","132.68"
"11LR","11' CYPRESS  RAIL","Non-stock item","Rail","","","","","","33.91","15.6"
"1215-20","20 x 20 x 20 PLANTER BOX","Non-stock item","Other","","","","","","452.2","226.1"
"1215-36","20 x 20 x 36 PLANTER BOX","Non-stock item","Other","","","","","3","549.98","274.99"
"1215-48","20 x 20 x 48 PLANTER BOX","Non-stock item","Other","","","","","4","668.54","334.27"
"1254","2 PIECE FOOT BLOCK KIT","Non-stock item","Other","","","","","","5.37","1.45"
"1255","3 PIECE FOOT BLOCK KIT","Non-stock item","Other","","","","","","5.44","1.47"
"12CCA","ACQ POST 4 x 4 x 12'  TREATED","Non-stock item","Other","Wood","","","4","12","38.02","19.01"
"12TH","12 in BLACK ORNAMENTAL TEE HIN","Non-stock item","Other","","","Black","","","51.4","20.56"
"1305A","8 in round column adapter stra","Non-stock item","Other","","","","","","7.74","3.25"
"1305B","8 in round column adapter stai","Non-stock item","Other","","","","","","6.5","2.73"
"1321","t rail straight bracket kit w/","Non-stock item","Rail","","","","","","10.08","5.04"
"1321A","t rail straight bracket kit w/","Non-stock item","Rail","","","","","","29.24","14.62"
"1357","t rail stair brkt kit w/caplug","Non-stock item","Rail","","","","","","11.8","5.9"
"1358","2x3-1/2 stair brkt kit w/caplu","Non-stock item","Other","","","","","3","11.8","5.9"
"1359","2x3-1/2 straight bracket kit w","Non-stock item","Bracket","","","","","3","9.7","4.85"
"1390","Large Ball Top Pvc","Non-stock item","Cap","PVC/Vinyl","","","","","42.67","19.2"
"1435","2x3-1/2 ANGLE WIZ stair brkt 4","Non-stock item","Other","","","","","3","34.55","16.24"
"1436","ANGLE WIZ T RAIL stair brkt 4","Non-stock item","Rail","","","","","","39.26","18.45"
"1460","2x3-1/2 ANGLE WIZ Rail angle b","Non-stock item","Rail","","","","","3","39.26","18.45"
"1461","ANGLE WIZ T Rail angle brkt le","Non-stock item","Rail","","","","","","43.62","20.5"
"152RG4","2 RAIL 4' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","4","5","164.36","57.18"
"152RG6","2 RAIL 6' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","6","6","177.72","63.86"
"152RG8","2 RAIL 8' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","8","8","191.08","70.54"
"153RG4","3 RAIL 4' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","4","5","190.98","70.49"
"153RG6","3 RAIL 6' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","6","6","211.02","80.51"
"153RG8","3 RAIL 8' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","8","8","231.06","90.53"
"154RG4","4 RAIL 4' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","4","5","217.6","83.8"
"154RG6","4 RAIL 6' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","6","6","244.32","97.16"
"154RG8","4 RAIL 8' GATE 1-1/2 x 5-1/2","Non-stock item","Gate","","","","8","8","271.04","110.52"
"1589","12 watt power supply w/photo c","Non-stock item","Other","","","","","","84.2","42.1"
"1590","50 watt power supply w/photo c","Non-stock item","Other","","","","","","270","135"
"1598w","led stair/side light w/2covers","Non-stock item","Other","","","","","","13.16","6.58"
"1599W","Led dome side light white colo","Non-stock item","Other","","","White","","","57.5","11.5"
"1626","2' led harness","Non-stock item","Other","","","","","","6.43","2.57"
"16-2STRAND","16-2 stranded low voltage land","Non-stock item","Other","","","","","","0.34","0.17"
"1645","Cape May downward low voltage","Non-stock item","Other","","","","","","35.6","17.8"
"16-4STRAND","16/4 str Audio CM/CL3 Oxy Free","Non-stock item","Other","","","","","","205.05","133.28"
"1652","solar dome side light","Non-stock item","Other","","","","","","18.44","9.22"
"1656","5 in Neptune Solar post cap wi","Non-stock item","Cap","","","","","","44.7","22.35"
"1661","4 in haven scalloped low volta","Non-stock item","Other","","","","","","62","31"
"18DRB","DELUX CANE BOLT 18 in.","Non-stock item","Other","","","","","","31.25","12.5"
"18RWRM","3/16 wire rope clip malleable","Non-stock item","Other","","","","","","0.63","0.41"
"1-CC461-01","1-CC461-01","Description only","Other","","","","","","0","0"
"2004R","4x6 Jerith style 200 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"20054R","54x6 Jerith style 200 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","215.33","116.28"
"2005R","5x6 Jerith style 200 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"2006R","6x6 Jerith style 200 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"2024R","4x6 Jerith style 202 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"20254R","54x6 Jerith style 202 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","215.33","116.28"
"2025R","5x6 Jerith style 202 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"2026R","6x6 Jerith style 202 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"2114R","4x6 Jerith style 211 5/8 pkt","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"21154R","54x6 Jerith style 211 5/8 pkt","Non-stock item","Other","Aluminum","","","4.5","6","215.33","116.28"
"2115R","5x6 Jerith style 211 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"2116R","6x6 Jerith style 211 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","243.7","131.6"
"24DRB","DELUX CANE BOLT 24 in nw38305-","Non-stock item","Other","","","","","","37.65","15.06"
"250625","1/4 in DOUBLE EDGE ROUTER BIT","Non-stock item","Other","","","","","","46.48","18.59"
"250725","1/4 SINGLE EDGE ROUTER BIT","Non-stock item","Other","","","","","","39.38","15.75"
"25BP6","2-1/2 x 2-1/2 x6  BLANK POST A","Non-stock item","Blank Post","","","","","6","61.82","34"
"25BP7","2-1/2 x 2-1/2 x 7 BLANK POST A","Non-stock item","Blank Post","","","","","","69.09","38"
"25BP8","2-1/2 x 2-1/2 x 8 BLANK POST A","Non-stock item","Blank Post","","","","","8","80","44"
"25CP6","2-1/2 x 2-1/2 x 6 CORNER POST","Non-stock item","Corner Post","","","","","6","61.82","34"
"25CP7","2-1/2 x 2-1/2 x 7 CORNER POST","Non-stock item","Corner Post","","","","","","69.09","38"
"25CP8","2-1/2 x 2-1/2 x 8 CORNER POST","Non-stock item","Corner Post","","","","","8","80","44"
"25EP6","2-1/2 x 2-1/2 x 6 END POST ALU","Non-stock item","End Post","","","","","6","61.82","34"
"25EP7","2-1/2 x 2-1/2 x 7 END POST ALU","Non-stock item","End Post","","","","","","69.09","38"
"25EP8","2-1/2 x 2-1/2 x 8 END POST ALU","Non-stock item","End Post","","","","","8","80","44"
"25HBP6","2-1/2 x 2-1/2 x 6 H. BLANK POS","Non-stock item","Blank Post","","","","","6","90.91","50"
"25HBP7","21/2 x 2-1/2 x 7 H. BLANK POST","Non-stock item","Blank Post","","","","","","105.45","58"
"25HBP8","2-1/2 x 2-1/2 x 8 H. BLANK POS","Non-stock item","Blank Post","","","","","8","120.91","66.5"
"25HEP6","2-1/2 x 2-1/2 x 6 H. END POST","Non-stock item","End Post","","","","","6","90.91","50"
"25HEP7","2-1/2 x 2-1/2 x 7 H. END POST","Non-stock item","End Post","","","","","","105.45","58"
"25HEP8","2-1/2 x 2-1/2 x 8 H. END POST","Non-stock item","End Post","","","","","8","120.91","66.5"
"25LP6","2-1/2 x 2-1/2 x 6 LINE POST AL","Non-stock item","Line Post","","","","","6","61.82","34"
"25LP7","2-1/2 x 2-1/2 x 7 LINE POST AL","Non-stock item","Line Post","","","","","","69.09","38"
"25LP8","2-1/2 x 2-1/2 x 8 LINE POST AL","Non-stock item","Line Post","","","","","8","80","44"
"2600-466","rear bearing assembly for 9150","Non-stock item","Other","","","","","","142.25","78.24"
"2600-904","DRIVE SHAFT ASSEMBLY 9150 DOOR","Non-stock item","Other","","","","","","190.84","72.52"
"2600-917","jab nut magnetic sub assembly","Non-stock item","Other","","","","","","30.73","16.9"
"262RG4","2 RAIL 4' GATE 2 x 6","Non-stock item","Gate","","","","4","6","214.52","82.26"
"262RG6","2 RAIL 6' GATE 2 x 6","Non-stock item","Gate","","","","6","6","229.88","89.94"
"262RG8","2 RAIL 8' GATE 2 x 6","Non-stock item","Gate","","","","8","8","245.24","97.62"
"263RG4","3 RAIL 4' GATE 2 x 6","Non-stock item","Gate","","","","4","6","243.14","96.57"
"263RG6","3 RAIL 6' GATE 2 x 6","Non-stock item","Gate","","","","6","6","266.18","108.09"
"263RG8","3 RAIL 8' GATE 2 x 6","Non-stock item","Gate","","","","8","8","289.22","119.61"
"264RG4","4 RAIL 4' GATE 2 x 6","Non-stock item","Gate","","","","4","6","271.76","110.88"
"264RG6","4 RAIL 6' GATE 2 x 6","Non-stock item","Gate","","","","6","6","302.48","126.24"
"264RG8","4 RAIL 8' GATE 2 x 6","Non-stock item","Gate","","","","8","8","333.2","141.6"
"266116108-01","6""""x108"""" straight round struc","Non-stock item","Other","","","","","10","436.8","218.4"
"2BP6","2 x 2 x 6 BLANK POST ALUMINUM","Non-stock item","Blank Post","Aluminum","","","","6","40.44","22.24"
"2BP7","2 x 2 x 7 BLANK POST ALUMINUM","Non-stock item","Blank Post","Aluminum","","","","","43","23.65"
"2BP8","2 x 2 x 8 BLANK POST ALUMINUM","Non-stock item","Blank Post","Aluminum","","","","8","46.98","25.84"
"2CP6","2 x 2 x 6 CORNER POST ALUMINUM","Non-stock item","Corner Post","Aluminum","","","","6","40.44","22.24"
"2CP7","2 x 2 x 7 CORNER POST ALUMINUM","Non-stock item","Corner Post","Aluminum","","","","","43","23.65"
"2CP8","2 x 2 x 8 CORNER POST ALUMINUM","Non-stock item","Corner Post","Aluminum","","","","8","46.98","25.84"
"2EP6","2 x 2 x 6 END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","6","40.44","22.24"
"2EP7","2 x 2 x 7 END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","","43","23.65"
"2EP8","2 x 2 x 8 END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","8","46.98","25.84"
"2HBP6","2 x 2 x 6 H. BLANK POST ALUMIN","Non-stock item","Blank Post","Aluminum","","","","6","87.27","48"
"2HBP7","2 x 2 x 7 H. BLANK POST ALUMIN","Non-stock item","Blank Post","Aluminum","","","","","75.07","41.29"
"2HBP8","2 x 2 x 8 H. BLANK POST ALUMIN","Non-stock item","Blank Post","Aluminum","","","","8","88.13","48.47"
"2HCC","2 HOLE CEDAR CORNER POST","Non-stock item","Corner Post","Wood","","","","","39.52","24.5"
"2HCE","2 HOLE CEDAR END POST","Non-stock item","End Post","Wood","","","","","39.52","24.5"
"2HCL","2 HOLE CEDAR LINE POST","Non-stock item","Line Post","Wood","","","","","34.53","21.41"
"2HEP6","2 x 2 x 6 H. END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","6","87.27","48"
"2HEP7","2 x 2 x 7 H. END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","","75.07","41.29"
"2HEP8","2 x 2 x 8 H. END POST ALUMINUM","Non-stock item","End Post","Aluminum","","","","8","88.13","48.47"
"2HLC","2 HOLE LOCUST CORNER POST 6'","Non-stock item","Corner Post","","","","6","6","53.5","26.75"
"2HLE","2 HOLE LOCUST END POST 6'","Non-stock item","End Post","","","","6","6","49.52","24.76"
"2HLL","2 HOLE LOCUST LINE POST 6'","Non-stock item","Line Post","","","","6","6","53.58","26.79"
"2LP6","2 x 2 x 6 LINE POST ALUMINUM","Non-stock item","Line Post","Aluminum","","","","6","40.44","22.24"
"2LP7","2 x 2 x 7 LINE POST ALUMINUM","Non-stock item","Line Post","Aluminum","","","","","43","23.65"
"2LP8","2 x 2 x 8 LINE POST ALUMINUM","Non-stock item","Line Post","Aluminum","","","","8","46.98","25.84"
"3000W","1-1/2 x1-1/2x 36-1/2 COLONIAL","Non-stock item","Other","","","","","3","12.4","3.72"
"3020","NEWEL POST 4 x 4 x 48 in","Non-stock item","Other","","","","4","4","62.47","34.36"
"3021","PORCH POST 4 x 4 x 108 3400 LB","Non-stock item","Other","","","","4","10","207.42","114.08"
"3022","PORCH POST 5 x 5 x 108 5000 LB","Non-stock item","Other","","","","5","10","236.36","130"
"30D","30 D FENCE SPIKES","Non-stock item","Other","","","","","","5.71","2"
"3100","1-1/2X1-1/2x36-1/2 pressure fo","Non-stock item","Other","","","","","3","12.4","3.72"
"371LM","Powermaster single button 371L","Non-stock item","Other","","","","","","30.77","20"
"3BP6","3 X 3 X 6 BLANK POSTS ALUMINUM","Non-stock item","Blank Post","Aluminum","","","3","6","109.09","60"
"3BP7","3 X 3 X 7 BLANK POSTS ALUMINUM","Non-stock item","Blank Post","Aluminum","","","3","3","78.93","43.41"
"3BP8","3 X 3 X 8 BLANK POSTS ALUMINUM","Non-stock item","Blank Post","Aluminum","","","3","8","178.18","98"
"3BXL","EXT 3 BUTTON W/ LOCKOUT","Non-stock item","Other","","","","","","111.95","72.77"
"3EP6","3 X 3 X 6 END POSTS ALUMINUM","Non-stock item","End Post","Aluminum","","","3","6","109.09","60"
"3EP7","3 X 3 X 7 END POSTS ALUMINUM","Non-stock item","End Post","Aluminum","","","3","3","78.93","43.41"
"3EP8","3 X 3 X 8 END POSTS ALUMINUM","Non-stock item","End Post","Aluminum","","","3","8","178.18","98"
"3HCC","3 HOLE CEDAR CORNER POST","Non-stock item","Corner Post","Wood","","","","","39.18","24.29"
"3HCE","3 HOLE CEDAR END POST","Non-stock item","End Post","Wood","","","","","36.71","22.76"
"3HCL","3 HOLE CEDAR LINE POST","Non-stock item","Line Post","Wood","","","","","35.6","22.07"
"3HLC","3 HOLE PRESSURE TREATED CORNER","Non-stock item","Other","Wood","","","","","41.08","20.54"
"3HLE","3 HOLE PRESSURE TREATED END PO","Non-stock item","Other","Wood","","","","","40.64","20.32"
"3HLL","3 HOLE PRESSURE TREATED LINE P","Non-stock item","Other","Wood","","","","","38.3","19.15"
"4004R","4x6 Jerith style 400 5/8 pkt 2","Non-stock item","Other","Aluminum","","","4","6","0","0"
"4005R","5x6 Jerith style 400 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","0","0"
"4006R","6x6 Jerith style 400 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","0","0"
"4014R","4x6 Jerith style 401 5/8 pkt 2","Non-stock item","Other","Aluminum","","","4","6","0","0"
"4015R","5x6 Jerith style 401 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","0","0"
"4016R","6x6 Jerith style 401 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","0","0"
"4024R","4x6 Jerith style 402 5/8 pkt 2","Non-stock item","Other","Aluminum","","","4","6","0","0"
"4025R","5x6 Jerith style 402 5/8 pkt","Non-stock item","Other","Aluminum","","","5","6","0","0"
"4026R","6x6 Jerith style 402 5/8 pkt","Non-stock item","Other","Aluminum","","","6","6","0","0"
"40D","40 D STOCKADE NAILS per lb.","Non-stock item","Section","Wood","","","","","8","2"
"41SP","4 SPRUCE PICKET ONLY","Non-stock item","Other","Wood","","","","","7.2","1.8"
"44","MONTPT SCAL GATE 6 x 3 OPEN","Non-stock item","Gate","","","","6","3","220.35","88.58"
"481C","4 x 8 CEDAR STOCKADE 3/4 #1","Non-stock item","Section","Wood","","","4","8","153.89","109.26"
"481CS","4 x 8 SCAL CEDAR STOCK. 3/4 #1","Non-stock item","Other","Wood","","","4","8","0","0"
"481CSP","4X8 CEDAR STOCKADE SPACED PICK","Non-stock item","Section","Wood","","","4","8","54.79","38.9"
"481S","4 x 8 SPRUCE STOCKADE 3/4 #1","Non-stock item","Section","Wood","","","4","8","64.38","45.71"
"481SS","4 x 8 SCAL SPRUCE STOCKADE #1","Non-stock item","Section","Wood","","","4","8","0","0"
"482C","4 x 8 CEDAR STOCKADE 3/4 #2","Non-stock item","Section","Wood","","","4","8","0","0"
"4CP6","CORNER POST 4 x 4 x 78 white c","Non-stock item","Corner Post","","","White","4","4","31.5","16.17"
"4CP8","CORNER POST 4 x 4 x 8 white co","Non-stock item","Corner Post","","","White","4","8","37.74","19.6"
"4CP9","CORNER POST 4 x 4 x 9 white co","Non-stock item","Corner Post","","","White","4","4","42.19","22.05"
"4EP6","END POST 4 x 4 x 78 white colo","Non-stock item","End Post","","","White","4","4","30.45","16.17"
"4EP8","END POST 4 x 4 x 8 white color","Non-stock item","End Post","","","White","4","8","36.69","19.6"
"4EP9","END POST 4 x 4 x 9 white color","Non-stock item","End Post","","","White","4","4","41.14","22.05"
"4HEP6","4 x 4 x 7 HEAVY POST ALUMINUM","Non-stock item","End Post","Aluminum","","","4","4","118.64","65.25"
"4HEP7","4 x 4 x 7 HEAVY POST ALUMINUM","Non-stock item","End Post","Aluminum","","","4","4","118.64","65.25"
"4HEP8","4 x 4 x 8 HEAVY POST ALUMINUM","Non-stock item","End Post","Aluminum","","","4","8","139.09","76.5"
"4HEP9","4 x 4 x 108 HEAVY POST ALUMINU","Non-stock item","End Post","Aluminum","","","4","10","139.09","76.5"
"4LP6","LINE POST 4 x 4 x 78 white col","Non-stock item","Line Post","","","White","4","4","31.05","15.93"
"4LP8","LINE POST 4 x 4 x 8 white colo","Non-stock item","Line Post","","","White","4","8","37.74","19.6"
"4LP9","LINE POST 4 x 4 x 9 white colo","Non-stock item","Line Post","","","White","4","4","42.19","22.05"
"4RS","4' ECONO.ROSEDALE SPECIAL","Non-stock item","Other","","","","4","4","79.8","39.9"
"4SKIRT","4 in POST SKIRT 1069 a-w","Non-stock item","Skirt","","","","","","7.86","2.75"
"4SKIRTA","4 in POST SKIRT ALMOND #1070","Non-stock item","Skirt","","","Almond","","","9.04","3.16"
"5250","SUBURBAN ARBOR W/O WINGS","Non-stock item","Other","","","","","","605.64","333.1"
"5300W","CLASSIC ARBOR","Non-stock item","Other","","","","","","1300.27","654.1"
"5350","PERGOLA 88W x 99H x 54D","Non-stock item","Other","","","","","5","1081.78","533.93"
"5451","SUBURBAN MAILBOX AND POST","Non-stock item","Other","","","","","","259.09","142.5"
"5455","VICTORIAN SINGLE ROSE MAILBOX","Non-stock item","Other","","","","","","284.18","156.3"
"5456","VICTORIAN DOUBLE ROSE MAILBOX","Non-stock item","Other","","","","","","270.55","148.8"
"581C","5 x 8 CEDAR STOCKADE 3/4 #1","Non-stock item","Section","Wood","","","5","8","225.35","160"
"581S","5 x 8 SPRUCE STOCKADE 3/4 #1","Non-stock item","Section","Wood","","","5","8","76.1","54.03"
"5CP10","CORNER POST 5 x 5 x 10' white","Non-stock item","Corner Post","","","White","5","10","42.28","22.1"
"5CP10A","CORNER POST 5 x 5 x 10' almond","Non-stock item","Corner Post","","","Almond","5","10","46.3","24.31"
"5CP10AD","CORNER POST 5 x 5 x 10' adobe","Non-stock item","Corner Post","","","Adobe","5","10","48.31","25.42"
"5CP12","CORNER POST 5 x 5 x 12' white","Non-stock item","Corner Post","","","White","5","12","55.14","29.17"
"5CP12A","CORNER POST 5 x 5 x 12' almond","Non-stock item","Corner Post","","","Almond","5","12","79.99","42.84"
"5CP12AD","CORNER POST 5 x 5 x 12' adobe","Non-stock item","Corner Post","","","Adobe","5","12","87.78","47.12"
"5CP78","CORNER POST 5 x 5 x 6-1/2 whit","Non-stock item","Corner Post","","","","5","6","28.22","14.37"
"5CP78A","CORNER POST 5 x 5 x 6-1/2 almo","Non-stock item","Corner Post","","","Almond","5","6","30.83","15.8"
"5CP78AD","CORNER POST 5 x 5 x 6-1/2 adob","Non-stock item","Corner Post","","","","5","6","32.14","16.52"
"5CP78B","5X5X78 CORNER POST BLACK COLOR","Non-stock item","Corner Post","","","Black","5","5","65.91","36.25"
"5CP78G","CORNER POST 5 x 5 x 6-1/2 gray","Non-stock item","Corner Post","","","Gray","5","6","30.83","15.8"
"5CP8","CORNER POST 5 x 5 x 8 white co","Non-stock item","Corner Post","","","White","5","8","38.26","19.89"
"5CP8A","CORNER POST 5 x 5 x 8 almond c","Non-stock item","Corner Post","","","Almond","5","8","41.88","21.88"
"5CP8AD","CORNER POST 5 x 5 x 8 adobe co","Non-stock item","Corner Post","","","Adobe","5","8","43.69","22.87"
"5CP8G","CORNER POST 5 x 5 x 8 gray col","Non-stock item","Corner Post","","","Gray","5","8","41.88","21.88"
"5CP9","CORNER POST 5 x 5 x 9 white co","Non-stock item","Corner Post","","","White","5","5","38.26","19.89"
"5CP9A","CORNER POST 5 x 5 x 9 almond c","Non-stock item","Corner Post","","","Almond","5","5","41.88","21.88"
"5CP9AD","CORNER POST 5 x 5 x 9 adobe co","Non-stock item","Corner Post","","","Adobe","5","5","43.69","22.87"
"5CP9B","5X5X9 CORNER POST BLACK COLOR","Non-stock item","Corner Post","","","Black","5","5","86.96","47.83"
"5CP9G","CORNER POST 5 x 5 x 9 Gray col","Non-stock item","Corner Post","","","Gray","5","5","41.88","21.88"
"5EP10","END POST 5 x 5 x 10' white col","Non-stock item","End Post","","","White","5","10","41.23","22.1"
"5EP10A","END POST 5 x 5 x 10' almond co","Non-stock item","End Post","","","Almond","5","10","45.25","24.31"
"5EP10AD","END POST 5 x 5 x 10' adobe col","Non-stock item","End Post","","","Adobe","5","10","47.26","25.42"
"5EP12","END POST 5 x 5 x 12' white col","Non-stock item","End Post","","","White","5","12","49.27","26.52"
"5EP12A","END POST 5 x 5 x 12' almond co","Non-stock item","End Post","","","Almond","5","12","54.09","29.17"
"5EP12AD","END POST 5 x 5 x 12' adobe col","Non-stock item","End Post","","","Adobe","5","12","56.5","30.5"
"5EP78","END POST 5 x 5 x 6-1/2 white c","Non-stock item","End Post","","","White","5","6","27.17","14.37"
"5EP78A","END POST 5 x 5 x 6-1/2 almond","Non-stock item","End Post","","","Almond","5","6","29.78","15.8"
"5EP78AD","END POST 5 x 5 x 6-1/2 adobe c","Non-stock item","End Post","","","Adobe","5","6","31.09","16.52"
"5EP78B","5X5X78 END POST BLACK COLOR","Non-stock item","End Post","","","Black","5","5","65.91","36.25"
"5EP78G","END POST 5 x 5 x 6-1/2 Gray co","Non-stock item","End Post","","","Gray","5","6","29.78","15.8"
"5EP8","END POST 5 x 5 x 8 white color","Non-stock item","End Post","","","White","5","8","37.21","19.89"
"5EP8A","END POST 5 x 5 x 8 almond colo","Non-stock item","End Post","","","Almond","5","8","40.83","21.88"
"5EP8AD","END POST 5 x 5 x 8 adobe color","Non-stock item","End Post","","","Adobe","5","8","42.64","22.87"
"5EP8G","END POST 5 x 5 x 8 Gray color","Non-stock item","End Post","","","Gray","5","8","40.83","21.88"
"5EP9","END POST 5 x 5 x 9 white color","Non-stock item","End Post","","","White","5","5","37.21","19.89"
"5EP9A","END POST 5 x 5 x 9 almond colo","Non-stock item","End Post","","","Almond","5","5","40.83","21.88"
"5EP9AD","END POST 5 x 5 x 9 adobe color","Non-stock item","End Post","","","Adobe","5","5","42.64","22.87"
"5EP9B","5X5X9 END POST BLACK COLOR","Non-stock item","End Post","","","Black","5","5","86.96","47.83"
"5EP9G","END POST 5 x 5 x 9 gray color","Non-stock item","End Post","","","Gray","5","5","40.83","21.88"
"5HCP10","HEAVY CORNER POST 5 x 5 x 10 w","Non-stock item","Corner Post","","","","5","10","67.01","35.7"
"5HCP11","HEAVY CORNER POST 5 x 5 x 11 w","Non-stock item","Corner Post","","","","5","5","73.5","39.27"
"5HCP12","HEAVY CORNER POST 5 x 5 x 12 w","Non-stock item","Corner Post","","","","5","12","79.99","42.84"
"5HCP9","HEAVY CORNER POST 5 x 5 x 9 wh","Non-stock item","Corner Post","","","","5","5","60.52","32.13"
"5HCP9A","HEAVY CORNER POST 5 x 5 x 9 al","Non-stock item","Corner Post","","","","5","5","66.36","35.34"
"5HCP9AD","HEAVY CORNER POST 5 x 5 x 9 ad","Non-stock item","Corner Post","","","","5","5","69.28","36.95"
